Tag;Datum;Zeit;Home;Away;Resultat;Drittel;OT/SO;Status;Versch.;Stadion;Zus.;Id;Liga;Region;Phase
Do;02.11.2017;19:45;Genève-Servette HC;Lausanne HC; 6:1; 1:0|2:1|3:0;;Ende;False;Les Vernets, 1227 Les Acacias GE;6308;20181105000118;NL;CH;Regular Season
Fr;03.11.2017;19:45;EHC Biel-Bienne;SCL Tigers; 2:1; 0:0|2:0|0:1;;Ende;False;Tissot Arena, 2504 Biel/Bienne BE;5486;20181105000109;NL;CH;Regular Season
Fr;03.11.2017;19:45;HC Davos;SC Bern; 1:6; 0:3|0:2|1:1;;Ende;False;Vaillant Arena, 7270 Davos-Platz GR;4924;20181105000110;NL;CH;Regular Season
Fr;03.11.2017;19:45;HC Lugano;HC Ambri-Piotta; 3:1; 0:0|1:1|2:0;;Ende;False;Piste Resega, 6948 Porza Ti;7200;20181105000112;NL;CH;Regular Season
Fr;03.11.2017;19:45;EV Zug;Fribourg-Gottéron; 4:6; 1:2|3:3|0:1;;Ende;False;BOSSARD Arena, 6303 Zug;7100;20181105000114;NL;CH;Regular Season
Sa;04.11.2017;19:45;HC Ambri-Piotta;EHC Biel-Bienne; 3:4; 1:0|1:1|1:2|0:1;OT;Ende;False;Stadio Valascia, 6775 Ambri TI;5315;20181105000115;NL;CH;Regular Season
Sa;04.11.2017;19:45;SC Bern;EV Zug; 2:1; 2:0|0:1|0:0;;Ende;False;PostFinance-Arena, 3014 Bern BE;17031;20181105000116;NL;CH;Regular Season
Sa;04.11.2017;19:45;Fribourg-Gottéron;HC Davos; 3:1; 2:0|0:1|1:0;;Ende;False;BCF Arena, 1700 Fribourg FR;6120;20181105000117;NL;CH;Regular Season
Sa;04.11.2017;19:45;EHC Kloten;ZSC Lions; 3:5; 2:1|1:3|0:1;;Ende;False;SWISS Arena, 8302 Kloten ZH;6323;20181105000119;NL;CH;Regular Season
Sa;04.11.2017;19:45;SCL Tigers;HC Lugano; 2:4; 0:1|0:1|2:2;;Ende;False;Ilfishalle, 3550 Langnau im Emmental BE;6000;20181105000120;NL;CH;Regular Season
Di;14.11.2017;19:45;EHC Biel-Bienne;EV Zug; 1:4; 0:2|0:1|1:1;;Ende;False;Tissot Arena, 2504 Biel/Bienne BE;4837;20181105000121;NL;CH;Regular Season
