Tag;Datum;Zeit;Home;Away;Resultat;Drittel;OT/SO;Status;Versch.;Stadion;Zus.;TV/Online;Id;Liga;Region;Phase
Mo;19.04.2021;20:00;Genève-Servette HC;Fribourg-Gottéron; 4:0; 1:0|0:0|3:0;;Ende;False;Les Vernets, 1227 Les Acacias GE;50;SRF,RTS,RSI,MYSPORTS;20211105000335;NL;CH;Playoff 1/4 Final
Mo;19.04.2021;20:00;ZSC Lions;Lausanne HC; 3:1; 1:0|1:0|1:1;;Ende;False;Hallenstadion, 8050 Zürich ZH;50;MYSPORTS;20211105000336;NL;CH;Playoff 1/4 Final
Mi;21.04.2021;20:00;EV Zug;SC Bern; 5:2; 2:1|2:1|1:0;;Ende;False;BOSSARD Arena, 6303 Zug;50;MYSPORTS;20211105000337;NL;CH;Playoff 1/4 Final
Mi;21.04.2021;20:00;HC Lugano;SC Rapperswil-Jona Lakers; 3:4; 0:0|0:0|3:3|0:0|0:1;OT;Ende;False;Cornèr Arena, 6948 Porza Ti;50;SRF,RTS,RSI,MYSPORTS;20211105000338;NL;CH;Playoff 1/4 Final
Mi;21.04.2021;20:00;Fribourg-Gottéron;Genève-Servette HC; 0:5; 0:1|0:1|0:3;;Ende;False;BCF Arena, 1700 Fribourg FR;50;MYSPORTS;20211105000339;NL;CH;Playoff 1/4 Final
Mi;21.04.2021;20:00;Lausanne HC;ZSC Lions; 5:2; 1:1|1:1|3:0;;Ende;False;Vaudoise Aréna, 1008 Lausanne VD;50;SRF,RTS,RSI,MYSPORTS;20211105000340;NL;CH;Playoff 1/4 Final
Fr;23.04.2021;20:00;SC Bern;EV Zug; 0:1; 0:0|0:1|0:0;;Ende;False;PostFinance-Arena, 3014 Bern BE;50;SRF,RTS,RSI,MYSPORTS;20211105000341;NL;CH;Playoff 1/4 Final
Fr;23.04.2021;20:00;ZSC Lions;Lausanne HC; 3:0; 0:0|2:0|1:0;;Ende;False;Hallenstadion, 8050 Zürich ZH;50;SRF,RTS,RSI,MYSPORTS;20211105000344;NL;CH;Playoff 1/4 Final
So;25.04.2021;20:00;EV Zug;SC Rapperswil-Jona Lakers; 6:1; 3:0|2:1|1:0;;Ende;False;BOSSARD Arena, 6303 Zug;50;SRF,RTS,RSI,MYSPORTS;20211105000349;NL;CH;Playoff 1/2 Final
So;25.04.2021;20:00;ZSC Lions;Genève-Servette HC; 1:2; 0:0|0:1|1:1;;Ende;False;Hallenstadion, 8050 Zürich ZH;50;MYSPORTS;20211105000350;NL;CH;Playoff 1/2 Final
Di;27.04.2021;20:00;SC Rapperswil-Jona Lakers;EV Zug; 2:4; 1:0|1:3|0:1;;Ende;False;St.Galler Kantonalbank Arena, 8640 Rapperswil SG;50;MYSPORTS;20211105000351;NL;CH;Playoff 1/2 Final
