Tag;Datum;Zeit;Home;Away;Resultat;Drittel;OT/SO;Status;Versch.;Stadion;Zus.;Id;Liga;Region;Phase
Fr;02.10.2015;19:45;EHC Kloten;HC Lugano; 2:1; 1:0|0:0|0:1|1:0;SO;Ende;False;SWISS Arena, Kloten;5706;20161105071046;NL A;CH;Regular Season
Fr;02.10.2015;19:45;Lausanne HC;SC Bern; 1:4; 1:1|0:2|0:1;;Ende;False;P. de Malley, Lausanne;6715;20161105071047;NL A;CH;Regular Season
Fr;02.10.2015;19:45;ZSC Lions;Genève-Servette HC; 0:4; 0:3|0:0|0:1;;Ende;False;Hallenstadion AG, Zürich;8347;20161105071048;NL A;CH;Regular Season
Sa;03.10.2015;19:45;SC Bern;EHC Kloten; 2:1; 1:0|0:1|1:0;;Ende;False;PostFinance-Arena, Bern;15364;20161105071049;NL A;CH;Regular Season
Sa;03.10.2015;19:45;EHC Biel-Bienne;Lausanne HC; 0:2; 0:0|0:0|0:2;;Ende;False;Tissot Arena, Biel-Bienne;5565;20161105071050;NL A;CH;Regular Season
Sa;03.10.2015;19:45;Genève-Servette HC;HC Davos; 2:4; 0:1|1:0|1:3;;Ende;False;Les Vernets, Genève;6497;20161105071051;NL A;CH;Regular Season
Sa;03.10.2015;19:45;SCL Tigers;HC Ambri-Piotta; 4:2; 2:1|0:1|2:0;;Ende;False;Ilfis Stadion, Langnau;6000;20161105071052;NL A;CH;Regular Season
Sa;03.10.2015;19:45;HC Lugano;Fribourg-Gottéron; 4:1; 3:0|0:0|1:1;;Ende;False;Pista Resega, Porza;5461;20161105071053;NL A;CH;Regular Season
Sa;03.10.2015;19:45;EV Zug;ZSC Lions; 1:3; 1:1|0:0|0:2;;Ende;False;BOSSARD Arena, Zug;6788;20161105071054;NL A;CH;Regular Season
Di;06.10.2015;19:45;Lausanne HC;HC Ambri-Piotta; 2:1; 1:0|1:0|0:1;;Ende;False;P. de Malley, Lausanne;6211;20161105071059;NL A;CH;Regular Season
Fr;09.10.2015;19:45;SC Bern;HC Lugano; 3:1; 2:1|0:0|1:0;;Ende;False;PostFinance-Arena, Bern;15801;20161105071055;NL A;CH;Regular Season
Fr;09.10.2015;19:45;EHC Biel-Bienne;SCL Tigers; 2:5; 2:2|0:1|0:2;;Ende;False;Tissot Arena, Biel-Bienne;6374;20161105071056;NL A;CH;Regular Season
